lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
37875	tad	pron	197078	184809	0		this; gleicher
157144	ca	ind	174392	0	0		and; both; also; moreover; as well as
63331	iti	ind	78497	0	0		in this manner; thus (in its original signification iti refers to something that has been said or thought); so; [gramm.] the word iti
39754	eva	ind	65406	0	0		so; just so; exactly so (in the sense of the later evam); indeed; truly; really (often at the beginning of a verse in conjunction with other particles); very; same; only; even; alone; merely; immediately on; still; already
43432	na	ind	63712	0	0		not; no; nor; neither; like
37879	mad	pron	62747	60575	0		I; we
37877	yad	pron	62086	61421	0		what; which; who
37876	idam	pron	52518	52461	0		this; (near deictic pronoun in Vedic)
37880	tvad	pron	51156	49725	0		you
163744	etad	pron	41418	40991	0		this; [gramm.] the pronoun etad; auf diese Weise
156168	kṛ	2. Ā.	40555	11163	5438	0.95	to make like or similar; to consider equivalent; to reduce anything to; to cause to become; to do; to accomplish; to prepare; to make use of; to compose; to act; das Nachdenken hinrichten; to clench (the fist)
157250	bhū	1. Ā.	40393	2652	14098	0.33	to be; to become; to come into being; to happen; to occur; to make up; gedeihen
21365	api	ind	37468	0	0		also; moreover; besides; assuredly; surely
104444	sarva	pron	37138	22865	0		whole; entire; all; every; of all sorts; manifold; various; different; completely
82701	tu	ind	37061	0	0		do; now; then; but; and; or; name of the river Śatadru
156122	as	2. P.	35467	3004	15693	0.41	to be; to live; to exist; to be present; to take place; to happen; to abide; to dwell; to stay; to belong to (gen. or dat.); to fall to the share of; to be equal to (dat.); to turn out; to tend towards any result; to prove
157264	vac	2. P.	33948	8996	135	0.81	to speak; to say; to tell; to declare; to proclaim; to recite; verk￼nden; to speak ill of
37544	mahat	adj	26986	6646	0		great; large; big; huge; ample; extensive; long; abundant; numerous; considerable; important; high; eminent; abounding on rich in (instr.); distinguished by; early (morning); advanced (afternoon); violent (pain or emotion); thick (as darkness); gross; loud (as noise); many (people); chief
75765	vā	ind	25185	0	0		either - or; on the one side - on the other side; optionally
95987	tathā	ind	24786	0	0		in that manner; so; thus; yes; so be it; so it shall be (particle of assent); so also; in like manner
95922	tatas	ind	24196	0	0		from that; in consequence of that; for that reason; consequently; then; after that
109879	hi	ind	23677	0	0		for; because; on account of
118154	vai	ind	23298	0	0		a particle of emphasis and affirmation; f￼rwahr
86559	deva	m	22996	17565	0		a deity; god; (rarely applied to) evil demons; the gods as the heavenly or shining ones; name of the number 33; name of Indra as the god of the sky and giver of rain; cloud; a husband's brother; a fool; dolt; a child; a man following any particular line or business; a spearman; lancer; emulation; wish to excel or overcome; sport; play; a sword; name of men; name of a disciple of Nāgārjuna; dimin; an organ of sense; [min.] mercury; [gramm.] the word 'deva'
7467	atha	ind	22983	0	0		an auspicious and inceptive particle (not easily expressed in English); now; then; moreover; rather; certainly; but; else; what? how else?
63807	iva	ind	20318	0	0		like; in the same manner as (in this sense = yathā); as it were; as if; in a certain manner; in some measure; a little; perhaps (in qualification or mitigation of a strong assertion); nearly; almost; about; so; just so; just; exactly; indeed; very (especially after words which involve some restriction)
70467	rājan	m	19360	15212	0		a king; sovereign; prince; chief (often applied to gods); a man of the royal tribe or the military caste; a Kṣatriya; a Yakṣa; name of one of the 18 attendants on Sūrya (identified with a form of Guha); [min.] = rājāvarta
5705	agni	m	19309	16673	0		fire; sacrificial fire (of three kinds); the number three; the god of fire; the fire of the stomach; digestive faculty; gastric fluid; bile; gold; name of various plants; mystical substitute for the letter r; Semicarpus Anacardium; Plumbago Zeylanica and Rosea; Citrus Acida; [alchemy] the doṣa called vahni
156214	gam	6. Ā.	18341	6955	1767	0.80	to go; to move; to approach; to understand; to reside (as a disease); to elapse (of time)
39758	evam	ind	16913	0	0		thus; in this way; in such a manner; such
213048	a	ind	15354	18	0		[gramm.] the sound a; eh bien!; (ibc., negating particle); [gramm.] the root han; [gramm.] a taddhita affix; bad
95978	tatra	ind	15174	0	0		in that place; there (in comp.); thither; to that place; in that; therein; in that case; on that occasion; under those circumstances; then; therefore
57973	ādi	m	15011	9533	0		beginning; commencement; a firstling; first-fruits; ifc. beginning with; et caetera; and so on; name of Śiva; [gramm.] the first syllable of a word
