rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
1	37875	tad	pron	PRON	197078	this; gleicher
2	157144	ca	ind	CONJ	174392	and; both; also; moreover; as well as
3	63331	iti	ind	PART	78497	in this manner; thus (in its original signification iti refers to something that has been said or thought); so; [gramm.] the word iti
4	39754	eva	ind	PART	65406	so; just so; exactly so (in the sense of the later evam); indeed; truly; really (often at the beginning of a verse in conjunction with other particles); very; same; only; even; alone; merely; immediately on; still; already
5	43432	na	ind	PART	63712	not; no; nor; neither; like
6	37879	mad	pron	PRON	62747	I; we
7	37877	yad	pron	PRON	62086	what; which; who
8	37876	idam	pron	PRON	52518	this; (near deictic pronoun in Vedic)
9	37880	tvad	pron	PRON	51156	you
10	163744	etad	pron	PRON	41418	this; [gramm.] the pronoun etad; auf diese Weise
11	156168	kṛ	2. Ā.	VERB	40555	to make like or similar; to consider equivalent; to reduce anything to; to cause to become; to do; to accomplish; to prepare; to make use of; to compose; to act; das Nachdenken hinrichten; to clench (the fist)
12	157250	bhū	1. Ā.	VERB	40393	to be; to become; to come into being; to happen; to occur; to make up; gedeihen
13	21365	api	ind	PART	37468	also; moreover; besides; assuredly; surely
14	104444	sarva	pron	PRON	37138	whole; entire; all; every; of all sorts; manifold; various; different; completely
15	82701	tu	ind	PART	37061	do; now; then; but; and; or; name of the river Śatadru
16	156122	as	2. P.	VERB	35467	to be; to live; to exist; to be present; to take place; to happen; to abide; to dwell; to stay; to belong to (gen. or dat.); to fall to the share of; to be equal to (dat.); to turn out; to tend towards any result; to prove
17	157264	vac	2. P.	VERB	33948	to speak; to say; to tell; to declare; to proclaim; to recite; verk￼nden; to speak ill of
18	37544	mahat	adj	ADJ	26986	great; large; big; huge; ample; extensive; long; abundant; numerous; considerable; important; high; eminent; abounding on rich in (instr.); distinguished by; early (morning); advanced (afternoon); violent (pain or emotion); thick (as darkness); gross; loud (as noise); many (people); chief
19	75765	vā	ind	CONJ	25185	either - or; on the one side - on the other side; optionally
20	95987	tathā	ind	ADV	24786	in that manner; so; thus; yes; so be it; so it shall be (particle of assent); so also; in like manner
21	95922	tatas	ind	ADV	24196	from that; in consequence of that; for that reason; consequently; then; after that
22	109879	hi	ind	PART	23677	for; because; on account of
23	118154	vai	ind	PART	23298	a particle of emphasis and affirmation; f￼rwahr
24	86559	deva	m	NOUN	22996	a deity; god; (rarely applied to) evil demons; the gods as the heavenly or shining ones; name of the number 33; name of Indra as the god of the sky and giver of rain; cloud; a husband's brother; a fool; dolt; a child; a man following any particular line or business; a spearman; lancer; emulation; wish to excel or overcome; sport; play; a sword; name of men; name of a disciple of Nāgārjuna; dimin; an organ of sense; [min.] mercury; [gramm.] the word 'deva'
25	7467	atha	ind	ADV	22983	an auspicious and inceptive particle (not easily expressed in English); now; then; moreover; rather; certainly; but; else; what? how else?
26	63807	iva	ind	PART	20318	like; in the same manner as (in this sense = yathā); as it were; as if; in a certain manner; in some measure; a little; perhaps (in qualification or mitigation of a strong assertion); nearly; almost; about; so; just so; just; exactly; indeed; very (especially after words which involve some restriction)
27	70467	rājan	m	NOUN	19360	a king; sovereign; prince; chief (often applied to gods); a man of the royal tribe or the military caste; a Kṣatriya; a Yakṣa; name of one of the 18 attendants on Sūrya (identified with a form of Guha); [min.] = rājāvarta
28	5705	agni	m	NOUN	19309	fire; sacrificial fire (of three kinds); the number three; the god of fire; the fire of the stomach; digestive faculty; gastric fluid; bile; gold; name of various plants; mystical substitute for the letter r; Semicarpus Anacardium; Plumbago Zeylanica and Rosea; Citrus Acida; [alchemy] the doṣa called vahni
29	156214	gam	6. Ā.	VERB	18341	to go; to move; to approach; to understand; to reside (as a disease); to elapse (of time)
30	39758	evam	ind	ADV	16913	thus; in this way; in such a manner; such
31	213048	a	ind	PART	15354	[gramm.] the sound a; eh bien!; (ibc., negating particle); [gramm.] the root han; [gramm.] a taddhita affix; bad
32	95978	tatra	ind	ADV	15174	in that place; there (in comp.); thither; to that place; in that; therein; in that case; on that occasion; under those circumstances; then; therefore
33	57973	ādi	m	NOUN	15011	beginning; commencement; a firstling; first-fruits; ifc. beginning with; et caetera; and so on; name of Śiva; [gramm.] the first syllable of a word
34	202954	sa	ind	ADV	14866	(ibc.) with
35	157766	dṛś	4. Ā.	VERB	14866	to behold; to look at; to regard; to consider; to see; to wait on; to visit; to see with the mind; to learn; to understand; to notice; to care for; to look into; to try; to examine; to see by divine intuition; to think or find out; to compose; to contrive (hymns); to be seen; to become visible; to appear; to be shown or manifested; to appear as; to prove
36	37878	ka	pron	PRON	14115	who?; what?
37	73250	yathā	ind	PART	13910	according; as; like; as
