lemma	pos	freq	reason
ap	noun	5381	plural-only root stem (āpaḥ)
pati	noun	4109	irregular sg obliques (patyā, patyuḥ)
div	noun	4004	diphthong stem (dyauḥ)
go	noun	3728	diphthong stem (gauḥ/gām)
ahar	noun	3317	unsupported stem shape (-r)
strī	noun	2994	suppletive stem (striyam)
rāja	noun	2992	cross-reference lemma
bhū	noun	2280	monosyllabic ū-stem (bhuvi)
śrī	noun	2085	monosyllabic ī-stem (śriyam)
bhīṣma	noun	2068	cross-reference lemma
ākhyā	noun	1646	ā-stem gender m
puṃs	noun	1422	suppletive (pumān/puṃsā)
pathin	noun	1363	suppletive (panthāḥ/pathā)
rātra	noun	1292	cross-reference lemma
prabhā	noun	1166	ā-stem gender m
ṛc	noun	1150	unsupported stem shape (-c)
sakhi	noun	1039	irregular strong stem (sakhāyam)
dhī	noun	1002	monosyllabic ī-stem (dhiyā)
gir	noun	975	unsupported stem shape (-r)
ūrj	noun	862	unsupported stem shape (-j)
hṛd	noun	858	suppletive with hṛdaya
tanu	noun	826	cross-reference lemma
tvac	noun	773	unsupported stem shape (-c)
suhṛd	noun	734	unsupported stem shape (-d)
apsaras	noun	729	as-stem gender f
jātavedas	noun	699	as-stem gender m
aṅgiras	noun	679	as-stem gender m
dadhi	noun	679	heteroclite i/an (dadhnā)
candramas	noun	648	as-stem gender m
mahātman	adj	3226	unsupported adjective shape (-n)
pañcan	adj	3121	numeral
saptan	adj	2162	numeral
daśan	adj	2065	numeral
vid	adj	1931	unsupported adjective shape (-d)
kṛt	adj	1716	unsupported adjective shape (-t)
ṣaṣ	adj	1631	unsupported adjective shape (-ṣ)
anvita	adj	1567	numeral
aṣṭan	adj	1380	numeral
han	adj	1287	unsupported adjective shape (-n)
prāñc	adj	1245	unsupported adjective shape (-c)
dvādaśan	adj	989	numeral
caturtha	adj	921	numeral
jit	adj	858	unsupported adjective shape (-t)
vidvas	adj	836	unsupported adjective shape (-s)
bṛhat	adj	812	unsupported adjective shape (-t)
ūrdhva	adj	794	numeral
sat	adj	758	unsupported adjective shape (-t)
udañc	adj	746	unsupported adjective shape (-c)
pratyañc	adj	712	unsupported adjective shape (-c)
navan	adj	701	unsupported adjective shape (-n)
ṣaṣṭha	adj	635	numeral
bhūyas	adj	608	unsupported adjective shape (-s)
asat	adj	526	unsupported adjective shape (-t)
nud	adj	522	unsupported adjective shape (-d)
mah	adj	503	unsupported adjective shape (-h)
dātṛ	adj	496	unsupported adjective shape (-ṛ)
bhṛt	adj	489	unsupported adjective shape (-t)
aṣṭama	adj	478	numeral
kartṛ	adj	476	unsupported adjective shape (-ṛ)
upe	verb	732	no curated athematic table and no clean thematic 3sg
avarudh	verb	625	no curated athematic table and no clean thematic 3sg
prāp	verb	618	no curated athematic table and no clean thematic 3sg
ādhā	verb	578	no curated athematic table and no clean thematic 3sg
upās	verb	574	no curated athematic table and no clean thematic 3sg
hvā	verb	570	no curated athematic table and no clean thematic 3sg
bhṛ	verb	527	no curated athematic table and no clean thematic 3sg
upadhā	verb	506	no curated athematic table and no clean thematic 3sg
ādā	verb	500	no curated athematic table and no clean thematic 3sg
bhuj	verb	478	no curated athematic table and no clean thematic 3sg
bhā	verb	417	no curated athematic table and no clean thematic 3sg
ācakṣ	verb	406	no curated athematic table and no clean thematic 3sg
āyā	verb	394	no curated athematic table and no clean thematic 3sg
nidhā	verb	382	no curated athematic table and no clean thematic 3sg
prī	verb	367	no curated athematic table and no clean thematic 3sg
avāp	verb	342	no curated athematic table and no clean thematic 3sg
nihan	verb	326	no curated athematic table and no clean thematic 3sg
prayā	verb	285	no curated athematic table and no clean thematic 3sg
hiṃs	verb	247	no curated athematic table and no clean thematic 3sg
duh	verb	244	no curated athematic table and no clean thematic 3sg
ad	verb	244	no curated athematic table and no clean thematic 3sg
pratigrah	verb	243	no curated athematic table and no clean thematic 3sg
