lemma	slp1	class	fem_slp1	freq	gloss
sarva	sarva	a_pron	sarvA	22865	whole
anya	anya	a_pron_at	anyA	10272	other
eka	eka	a_pron	ekA	9442	one
mahat	mahat	mahat		6646	great
uttama	uttama	a_adj	uttamA	4456	uppermost
priya	priya	a_adj	priyA	3445	beloved
sva	sva	a_pron_opt	svA	3368	own
bhavat	Bavat	mat_adj	BavatI	3280	your honour
bhagavat	Bagavat	mat_adj	BagavatI	3238	possessing fortune
bahu	bahu	u_adj	bahvI	3228	much
viśva	viSva	a_pron	viSvA	3193	all
uttara	uttara	a_pron_opt	uttarA	3090	upper
maya	maya	a_adj	mayA	3004	consisting or made of
śreṣṭha	SrezWa	a_adj	SrezWA	2856	most splendid or beautiful
divya	divya	a_adj	divyA	2667	divine
parama	parama	a_adj	paramA	2524	remotest
dakṣiṇa	dakziRa	a_pron_opt	dakziRA	2433	able
śubha	SuBa	a_adj	SuBA	2185	splendid
prathama	praTama	a_adj	praTamA	2118	first
ādya	Adya	a_adj	AdyA	2085	immediately preceding
ghna	Gna	a_adj	GnA	1972	striking with
ghora	Gora	a_adj	GorA	1937	venerable
jña	jYa	a_adj	jYA	1884	knowing
dvitīya	dvitIya	a_adj	dvitIyA	1715	forming the 2nd part or half of anything
sahita	sahita	a_adj	sahitA	1709	accompanied by
uṣṇa	uzRa	a_adj	uzRA	1611	hot
hita	hita	a_adj	hitA	1598	put
puṇya	puRya	a_adj	puRyA	1588	auspicious
sattama	sattama	a_adj	sattamA	1550	very good or right
sādhu	sADu	u_adj	('u_adj', 'sADu')	1545	straight
tṛtīya	tftIya	a_adj	tftIyA	1486	3rd
ityādi	ityAdi	i_adj	ityAdi	1461	having such  at the beginning
madhura	maDura	a_adj	maDurA	1418	sweet
hara	hara	a_adj	harA	1414	bearing
upama	upama	a_adj	upamA	1393	equal
śuci	Suci	i_adj	Suci	1357	shining
vividha	viviDa	a_adj	viviDA	1351	of various sorts
tulya	tulya	a_adj	tulyA	1331	equal to
adhika	aDika	a_adj	aDikA	1219	additional
ātmaka	Atmaka	a_adj	AtmakA	1131	ātmaka
apaha	apaha	a_adj	apahA	1122	keeping back
yuta	yuta	a_adj	yutA	1107	attached
ārta	Arta	a_adj	ArtA	1105	fallen into
dhīmat	DImat	mat_adj	DImatI	1096	intelligent
ubhaya	uBaya	a_pron	uBayA	1089	both
