lemma	slp1	class	freq	gloss
deva	deva	a_m	17565	deity
agni	agni	i_m	16673	fire
rājan	rAjan	an_m	15212	king
loka	loka	a_m	11272	free or open space
ātman	Atman	an_m_a	10853	breath
artha	arTa	a_m	10837	aim
indra	indra	a_m	10309	god of the atmosphere and sky
putra	putra	a_m	9895	son
ādi	Adi	i_m	9533	beginning
karman	karman	an_n_a	7939	act
rūpa	rUpa	a_n	7186	form
pitṛ	pitf	f_m	6876	father
yajña	yajYa	a_m	6767	worship
rasa	rasa	a_m	6656	sap or juice of plants
dharma	Darma	a_m	6467	that which is established or firm
manas	manas	as_n	6223	mind
kāla	kAla	a_m	6029	time
bala	bala	a_n	5592	power
ratha	raTa	a_m	5401	chariot
kāma	kAma	a_m	5292	wish
brāhmaṇa	brAhmaRa	a_m	5060	one who has divine knowledge
namas	namas	as_n	5002	bow
bhagavant	Bagavat	mat_m	4941	Jina or Arhat
vāc	vAc	cons_f:vAk	4747	speech
puruṣa	puruza	a_m	4632	man
paśu	paSu	u_m	4506	cattle
ṛṣi	fzi	i_m	4444	singer of sacred hymns
soma	soma	a_m	4367	juice
anta	anta	a_m	4366	end
prāṇa	prARa	a_m	4360	breath of life
phala	Pala	a_n	4298	fruit
mukha	muKa	a_n	4128	mouth
tapas	tapas	as_n	4091	warmth
brahman	brahman	an_m_a	4064	one who Prays
prajā	prajA	A_f	3922	procreation
devī	devI	I_f	3821	female deity
tejas	tejas	as_n	3750	sharp edge
sahasra	sahasra	a_n	3678	thousandth
śata	Sata	a_n	3602	hundred
pṛthivī	pfTivI	I_f	3552	earth or wide world
diś	diS	cons_f:dik	3490	quarter or region pointed at
guṇa	guRa	a_m	3440	single thread or strand of a cord or twine
vīra	vIra	a_m	3436	man
yoga	yoga	a_m	3411	act of yoking
pāṇḍava	pARqava	a_m	3371	son or descendant of Pāṇḍu
suta	suta	a_m	3331	son
anna	anna	a_n	3321	food or victuals
muni	muni	i_m	3254	impulse
madhya	maDya	a_n	3198	middle
nara	nara	a_m	3197	man
rāma	rAma	a_m	3153	horse
viṣṇu	vizRu	u_m	3097	= śuddha
bhūta	BUta	a_n	3068	that which is or exists
gṛha	gfha	a_n	3055	assistant
devatā	devatA	A_f	3011	godhead
jana	jana	a_m	2993	living being
vīrya	vIrya	a_n	2992	manliness
nāman	nAman	an_n	2937	characteristic mark or sign
vana	vana	a_n	2932	forest
pada	pada	a_n	2918	step
prajāpati	prajApati	i_m	2877	divinity presiding over procreation
vacana	vacana	a_n	2874	act of speaking
vāyu	vAyu	u_m	2849	wind
doṣa	doza	a_m	2832	fault
bāhu	bAhu	u_m	2790	arm
agra	agra	a_n	2734	foremost point or part
śiras	Siras	as_n	2682	head
mātṛ	mAtf	f_f	2679	mother
bhāga	BAga	a_m	2673	part
nṛpa	nfpa	a_m	2661	protector of men
yudhiṣṭhira	yuDizWira	a_m	2582	descendants of Yudhiṣṭhira
vrata	vrata	a_n	2580	will
rudra	rudra	a_m	2578	eleventh
vipra	vipra	a_m	2576	sage
vākya	vAkya	a_n	2571	speech
śara	Sara	a_m	2560	sort of reed or grass
sūrya	sUrya	a_m	2547	sun or its deity
mātra	mAtra	a_n	2519	element
śabda	Sabda	a_m	2465	noise
āditya	Aditya	a_m	2463	plant Calotropis Gigantea
aṅga	aNga	a_n	2455	limb of the body
aśva	aSva	a_m	2455	stallion
ṛṣabha	fzaBa	a_m	2455	bull
āyus	Ayus	us_n	2439	life
gaṇa	gaRa	a_m	2424	flock
vidhi	viDi	i_m	2424	rule
